0.001	1.36843	12.0269
0.002	1.37078	11.9872
0.003	1.37373	11.9477
0.004	1.37727	11.9083
0.005	1.38141	11.8691
0.006	1.38613	11.8299
0.007	1.39143	11.7908
0.008	1.3973	11.7518
0.009	1.40374	11.7127
0.01	1.41073	11.6736
0.011	1.41826	11.6345
0.012	1.42632	11.5953
0.013	1.43491	11.556
0.014	1.44401	11.5165
0.015	1.45361	11.4769
0.016	1.46369	11.4372
0.017	1.47426	11.3972
0.018	1.4853	11.357
0.019	1.49679	11.3165
0.02	1.50874	11.2758
0.021	1.52023	11.2348
0.022	1.53175	11.1935
0.023	1.54369	11.1504
0.024	1.55603	11.0622
0.025	1.56878	10.9739
0.026	1.58192	10.8855
0.027	1.59546	10.797
0.028	1.60939	10.7083
0.029	1.62371	10.6195
0.03	1.6384	10.5306
0.031	1.65347	10.4416
0.032	1.66892	10.3524
0.033	1.58996	10.2385
0.034	1.60187	10.1166
0.035	1.61435	9.99437
0.036	1.62738	9.87178
0.037	1.64097	9.74882
0.038	1.65512	9.62546
0.039	1.66983	9.50171
0.04	1.6851	9.37755
0.041	1.70094	9.25296
0.042	1.71734	9.12794
0.043	1.73431	9.00248
0.044	1.75186	8.87659
0.045	1.76997	8.75025
0.046	1.78866	8.62347
0.047	1.80793	8.49626
0.048	1.82778	8.36863
0.049	1.84821	8.24059
0.05	1.86923	8.11215
0.051	1.89084	7.98334
0.052	1.91305	7.85418
0.053	1.93584	7.72471
0.054	1.95923	7.59496
0.055	1.98322	7.46498
0.056	2.00782	7.33483
0.057	2.03301	7.20456
0.058	2.05881	7.07424
0.059	2.08522	6.94396
0.06	2.11224	6.81381
0.061	2.13987	6.6839
0.062	2.16812	6.55434
0.063	2.19698	6.42527
0.064	2.22646	6.29685
0.065	2.25656	6.16925
0.066	2.28728	6.04267
0.067	2.31863	5.91732
0.068	2.3506	5.79345
0.069	2.38321	5.67135
0.07	2.41645	5.55132
0.071	2.45033	5.43372
0.072	2.48485	5.31892
0.073	2.52002	5.20736
0.074	2.55583	5.09953
0.075	2.75216	5.00205
0.076	2.78488	4.91099
0.077	2.81862	4.82159
0.078	2.85336	4.73381
0.079	2.88911	4.64763
0.08	2.92585	4.56302
0.081	2.96341	4.47997
0.082	3.00053	4.39848
0.083	3.0379	4.31848
0.084	3.07663	4.23994
0.085	3.11637	4.16284
0.086	3.15705	4.08714
0.087	3.19867	4.01281
0.088	3.24121	3.93984
0.089	4.14263	3.8687
0.09	7.81314	3.79873
0.091	12.0555	3.72881
0.092	16.3636	3.65964
0.093	20.7843	3.59167
0.094	25.1738	3.5247
0.095	29.0778	3.45906
0.096	1.73827	3.34323
0.097	1.79081	3.28229
0.098	1.72444	3.21669
0.099	1.5186	3.15239
0.1	1.42849	3.08909
0.101	1.21724	3.02709
0.102	1.30867	2.96639
0.103	1.23996	2.90663
0.104	1.1277	2.84815
0.105	1.0824	2.79044
0.106	1.66324	2.73333
0.107	4.01458	2.6733
0.108	7.3487	2.61629
0.109	10.5961	2.5602
0.11	13.9182	2.50447
0.111	16.8783	2.44925
0.112	19.9418	2.39693
0.113	23.7221	2.35243
0.114	27.9004	2.31698
0.115	32.3828	2.2827
0.116	37.1141	2.24939
0.117	42.0777	2.21705
0.118	47.2642	2.18568
0.119	10.6992	2.09361
0.12	14.2972	2.06601
0.121	18.5203	2.03927
0.122	22.7182	2.01311
0.123	26.8911	1.98753
0.124	31.0394	1.96252
0.125	35.1636	1.93808
0.126	41.755	1.91705
0.127	48.7465	1.89715
0.128	5.46545	1.7686
0.129	6.55258	1.7442
0.13	9.49454	1.71979
0.131	12.4761	1.69596
0.132	15.6216	1.67309
0.133	23.7639	1.64476
0.134	32.2165	1.61682
0.135	40.7018	1.58944
0.136	49.1085	1.56262
0.137	57.5859	1.53618
0.138	19.4135	1.45686
0.139	7.05807	1.41269
0.14	10.5054	1.38788
0.141	13.9446	1.36252
0.142	17.3691	1.33765
0.143	21.0483	1.31338
0.144	24.4601	1.28989
0.145	27.8618	1.26707
0.146	31.5103	1.24469
0.147	34.2302	1.22781
0.148	41.4761	1.21273
0.149	9.04749	1.10552
0.15	14.5434	1.09117
0.151	23.0782	1.08964
0.152	32.0841	1.08979
0.153	41.0914	1.08993
0.154	50.4279	1.09073
0.155	59.6479	1.09187
0.156	68.6882	1.09318
0.157	41.7107	1.00833
0.158	45.1418	1.01434
0.159	51.749	1.02531
0.16	2.78626	0.913474
0.161	2.27433	0.919999
0.162	2.11051	0.924459
0.163	5.4238	0.929962
0.164	8.05179	0.936279
0.165	10.6929	0.943093
0.166	13.1369	0.950714
0.167	19.2049	0.956504
0.168	29.5277	0.965561
0.169	41.1303	0.97722
0.17	55.1665	0.984879
0.171	72.5175	0.983398
0.172	88.8661	0.979596
0.173	35.9142	0.862922
0.174	39.9772	0.860283
0.175	44.8914	0.846575
0.176	49.642	0.834034
0.177	0.68662	0.744909
0.178	1.30934	0.764812
0.179	9.36082	0.785294
0.18	16.818	0.801811
0.181	23.6916	0.818228
0.182	30.5821	0.834498
0.183	42.1232	0.850265
0.184	53.49	0.865456
0.185	63.6867	0.879084
0.186	71.9721	0.889538
0.187	45.5584	0.784659
0.188	49.4193	0.783388
0.189	56.3013	0.794613
0.19	0.473542	0.728224
0.191	4.35412	0.743121
0.192	8.49023	0.753553
0.193	12.5126	0.764678
0.194	17.5663	0.775073
0.195	23.1356	0.783656
0.196	28.2352	0.791071
0.197	33.1357	0.799209
0.198	38.8037	0.805655
0.199	50.8486	0.801342
0.2	63.3998	0.796238
